,0.3,0.5,0.7,1
256_1,"[0.6144169893394522, 0.7176870744244582, 0.7865828092243187]","[0.6156502462568737, 0.7333333333333333, 0.7972540045766591]","[0.6306172491997246, 0.7007874029827869, 0.816591704147926]","[0.5854485356618487, 0.7619047628508674, 0.8296465802186626]"
128_1,"[0.5677541275413669, 0.7210884349686759, 0.7799673887724202]","[0.564009948571523, 0.7285714285714285, 0.8011899313501144]","[0.5596407825552573, 0.7086614182614904, 0.8243378310844578]","[0.5566990706655714, 0.7222222231683277, 0.8202390033053648]"
256_200_1,"[0.5902165864803353, 0.6904761904761905, 0.7731656184486374]","[0.5652882479486011, 0.7, 0.7727231121281465]","[0.6387319625831964, 0.6535433099025817, 0.7831084457771115]","[0.5541539253696562, 0.6507936526858618, 0.7737096364098652]"
256_128_1,"[0.5919754199024772, 0.7040816326530612, 0.7555555555555555]","[0.5743800097987766, 0.6666666666666666, 0.7603661327231122]","[0.5817526447491383, 0.7086614182614904, 0.7626186906546727]","[0.5653979877630869, 0.6746031755492801, 0.7805746249682177]"
128_64_1,"[0.6348124237693086, 0.6496598639455783, 0.7224784532960634]","[0.6312000654992603, 0.6476190476190476, 0.7297025171624714]","[0.6021308131574645, 0.6614173242426294, 0.7353823088455772]","[0.6184139024643671, 0.6746031764953856, 0.7309941520467836]"
256_128_64_1,"[0.6656259606484654, 0.5884353737441861, 0.7067784765897974]","[0.6419268006370181, 0.6190476190476191, 0.6986727688787184]","[0.6317171646854071, 0.6299212617198313, 0.7033983008495752]","[0.5470574521829211, 0.7063492072953118, 0.778794813119756]"
256_0,"[0.6996323735941024, 0.6825396806474716, 0.821764556318332]","[0.5712533815512582, 0.7380952390413436, 0.8243071446732775]","[0.5864424246644216, 0.6984126993588039, 0.8332062039155861]","[0.5882479624142722, 0.7539682549143595, 0.8255784388507501]"
128_0,"[0.570352818284716, 0.7460317469778515, 0.8225273328248157]","[0.5611611249901, 0.7222222231683277, 0.8273582506992119]","[0.5382366951495882, 0.7460317469778515, 0.8291380625476735]","[0.5526661049752009, 0.7301587311048356, 0.8265954741927282]"
256_200_0,"[0.5966348619688124, 0.6825396806474716, 0.7574370709382151]","[0.5679549163296109, 0.6825396806474716, 0.767861683193491]","[0.5658585164282057, 0.6984126965204874, 0.7800661072972286]","[0.6608694735027495, 0.6349206330284239, 0.7594711416221713]"
256_128_0,"[0.5743143459161123, 0.6746031755492801, 0.7533689295703027]","[0.5527214086244977, 0.6666666647744557, 0.778794813119756]","[0.5720814206297435, 0.6507936489014399, 0.7505720823798628]","[0.5635780015635112, 0.6984126965204874, 0.7815916603101958]"
128_64_0,"[0.6097995629386296, 0.6904761923684014, 0.7620137299771167]","[0.6411715159340511, 0.6269841288763379, 0.7520976353928298]","[0.6344167164393834, 0.6507936526858618, 0.6989575387744725]","[0.6215144140379769, 0.6190476171554081, 0.706839562674803]"
256_128_64_0,"[0.6434628897243075, 0.6349206368128458, 0.6867531146707349]","[0.6380039808296022, 0.626984125091916, 0.7289600813628274]","[0.6135112614858718, 0.6666666685588776, 0.7134502923976609]","[0.6637106495244163, 0.6349206368128458, 0.7203152809560133]"
