,0.3,0.5,0.7,1
256_1,"[0.547273861510413, 0.7244897955128936, 0.783088749126485]","[0.5293413099788484, 0.7476190476190476, 0.8021967963386728]","[0.5384783977129328, 0.7165354340095219, 0.8118440779610194]","[0.5293793834391094, 0.7142857152318197, 0.8164251207729468]"
128_1,"[0.5494031372929917, 0.7278911564625851, 0.7845795481015606]","[0.5386045728410993, 0.7095238095238096, 0.7997254004576658]","[0.5247276099178735, 0.7086614182614904, 0.809095452273863]","[0.5288126567999522, 0.7222222231683277, 0.8087973557081108]"
256_200_1,"[0.6852660102098167, 0.5408163269360861, 0.7261122757978105]","[0.6889473926453363, 0.5476190476190477, 0.7433409610983982]","[0.6817900665163055, 0.5433070894301407, 0.7328835582208897]","[0.7019041521208627, 0.5476190466729421, 0.7205695397915078]"
256_128_1,"[0.6973973245036845, 0.5408163269360861, 0.7684602841835546]","[0.6884548244022187, 0.5476190476190477, 0.757254004576659]","[0.6828211682049308, 0.5433070894301407, 0.7166416791604198]","[0.6803287939419822, 0.5476190466729421, 0.7393846936181032]"
128_64_1,"[0.7023489791519788, 0.5408163269360861, 0.7387607733519683]","[0.6944191978091285, 0.5476190476190477, 0.7462700228832951]","[0.6897636168585048, 0.5433070894301407, 0.6924037981009495]","[0.6886782040671696, 0.5476190466729421, 0.6971777269260107]"
256_128_64_1,"[0.6989084826845701, 0.5408163269360861, 0.6833915676682972]","[0.6891371726989746, 0.5476190476190477, 0.6853089244851258]","[0.6893793888918058, 0.5433070894301407, 0.7083958020989506]","[0.68902221558586, 0.5476190466729421, 0.6801423849478769]"
256_0,"[0.5289334352054293, 0.7142857152318197, 0.8159166031019578]","[0.5404068449186901, 0.7063492072953118, 0.8164251207729469]","[0.528820118260762, 0.7222222231683277, 0.8171878972794304]","[0.5338790941806066, 0.7301587311048356, 0.813628273582507]"
128_0,"[0.5258826069415562, 0.7222222231683277, 0.8128654970760234]","[0.5257408798687042, 0.7222222231683277, 0.8095601322145944]","[0.524815065993203, 0.7142857152318197, 0.809814391050089]","[0.5328823626041412, 0.7063492072953118, 0.8115942028985507]"
256_200_0,"[0.675785033475785, 0.5634920625459581, 0.7325197050597508]","[0.6945625430061704, 0.5476190466729421, 0.7078565980167811]","[0.6750092601019239, 0.5634920625459581, 0.7396389524535978]","[0.6845098062167092, 0.5476190466729421, 0.6987032799389779]"
256_128_0,"[0.6876904444089011, 0.5476190466729421, 0.7365878464276633]","[0.6830504120342316, 0.5476190466729421, 0.7365878464276633]","[0.689236267218514, 0.5476190466729421, 0.7007373506229341]","[0.6957543322018215, 0.5476190466729421, 0.7325197050597508]"
128_64_0,"[0.6856199152885921, 0.5476190466729421, 0.703534197813374]","[0.6896798203861902, 0.5476190466729421, 0.673531655225019]","[0.6891268084919642, 0.5476190466729421, 0.7042969743198575]","[0.6849809080835373, 0.5476190466729421, 0.7322654462242563]"
256_128_64_0,"[0.6898905265898931, 0.5476190466729421, 0.6584032545130943]","[0.6912376861723643, 0.5476190466729421, 0.6797609966946352]","[0.688884711454785, 0.5476190466729421, 0.6638698194762268]","[0.6878303715160915, 0.5476190466729421, 0.6872616323417239]"
